Contacto,Respuesta:,Pregunta,Tiempo
+54 9 247 001-1111,si,['Hola! ㋡  mi nombre es *Pad* y soy el asistente virtual de *FUNPEI* para la carrera del Ciclo de Licenciatura en Gestión de Recursos Humanos. #Te proponemos responder una pequeña *encuesta* de 4 preguntas. #- Envía *Si* para continuar. ☺ #- Envía *Terminar* para finalizar la encuesta. ☹'],07:05:46
+54 9 247 001-2222,si,['Hola! ㋡  mi nombre es *Pad* y soy el asistente virtual de *FUNPEI* para la carrera del Ciclo de Licenciatura en Gestión de Recursos Humanos. #Te proponemos responder una pequeña *encuesta* de 4 preguntas. #- Envía *Si* para continuar. ☺ #- Envía *Terminar* para finalizar la encuesta. ☹'],07:05:57
+54 9 247 001-4444, terminamos,['Hola! ㋡  mi nombre es *Pad* y soy el asistente virtual de *FUNPEI* para la carrera del Ciclo de Licenciatura en Gestión de Recursos Humanos. #Te proponemos responder una pequeña *encuesta* de 4 preguntas. #- Envía *Si* para continuar. ☺ #- Envía *Terminar* para finalizar la encuesta. ☹'],07:08:43
+54 9 247 001-5555,si,['Hola! ㋡  mi nombre es *Pad* y soy el asistente virtual de *FUNPEI* para la carrera del Ciclo de Licenciatura en Gestión de Recursos Humanos. #Te proponemos responder una pequeña *encuesta* de 4 preguntas. #- Envía *Si* para continuar. ☺ #- Envía *Terminar* para finalizar la encuesta. ☹'],07:08:55
+54 9 247 001-6666, terminamos,['Hola! ㋡  mi nombre es *Pad* y soy el asistente virtual de *FUNPEI* para la carrera del Ciclo de Licenciatura en Gestión de Recursos Humanos. #Te proponemos responder una pequeña *encuesta* de 4 preguntas. #- Envía *Si* para continuar. ☺ #- Envía *Terminar* para finalizar la encuesta. ☹'],07:10:51
+54 9 247 001-2222, ok,"['Excelente. Comencemos con las preguntas: ☞ ⓵  ¿Cuál es para vos, el seminario del Ciclo de Licenciatura en Gestión de RR. HH. que otorga mayores herramientas para tu desempeño laboral y cuál es el que *No* otorga nada?']",07:11:22
+54 9 247 001-3333, terminamos,['Hola! ㋡  mi nombre es *Pad* y soy el asistente virtual de *FUNPEI* para la carrera del Ciclo de Licenciatura en Gestión de Recursos Humanos. #Te proponemos responder una pequeña *encuesta* de 4 preguntas. #- Envía *Si* para continuar. ☺ #- Envía *Terminar* para finalizar la encuesta. ☹'],07:11:45
+54 9 247 001-1111, adios,"['Excelente. Comencemos con las preguntas: ☞ ⓵  ¿Cuál es para vos, el seminario del Ciclo de Licenciatura en Gestión de RR. HH. que otorga mayores herramientas para tu desempeño laboral y cuál es el que *No* otorga nada?']",07:12:54
+54 9 247 001-2222,si,['⓶ -¿Seguirías estudiando un postgrado en el área de Recursos Humanos? #- Enviá *Si* #- Enviá *No*'],07:13:19
+54 9 247 001-7777, terminamos,['Hola! ㋡  mi nombre es *Pad* y soy el asistente virtual de *FUNPEI* para la carrera del Ciclo de Licenciatura en Gestión de Recursos Humanos. #Te proponemos responder una pequeña *encuesta* de 4 preguntas. #- Envía *Si* para continuar. ☺ #- Envía *Terminar* para finalizar la encuesta. ☹'],07:14:13
